material_id,formula_pretty,chemsys_query,host_id,mix_site,label,is_stable,energy_above_hull,classical_t,wtf,sigma_A,sigma_B,delta_q,r_A_eff,r_B_eff,q_A_eff,q_B_eff,A_elements,A_amounts,B_elements,B_amounts,normalized_composition
mp-743768,BaLa3Mn4O12,Ba-La-Mn-O,Ba-La-Mn-O,A,0,False,0.1481659271625,1.011199334753819,1.0340978704140051,0.1082531754730548,0.0,0.75,1.4225,0.53,2.75,4.0,"[""Ba"", ""La""]","[0.25, 0.75]","[""Mn""]",[1.0],"{""Ba"": 0.25, ""La"": 0.75, ""Mn"": 1.0, ""O"": 3.0}"
mp-1228080,BaLa4Mn5O15,Ba-La-Mn-O,Ba-La-Mn-O,A,0,False,0.171982948956669,1.011199334753819,1.029518163281968,0.1,0.0,0.8000000000000007,1.41,0.53,2.8000000000000003,4.0,"[""Ba"", ""La""]","[0.2, 0.8]","[""Mn""]",[1.0],"{""Ba"": 0.2, ""La"": 0.8, ""Mn"": 1.0, ""O"": 3.0}"
mp-1227844,BaLaMn2O6,Ba-La-Mn-O,Ba-La-Mn-O,A,0,False,0.155091302266694,1.1027934773945636,1.0569964060741914,0.125,0.0,0.5,1.485,0.53,2.5,4.0,"[""Ba"", ""La""]","[0.5, 0.5]","[""Mn""]",[1.0],"{""Ba"": 0.5, ""La"": 0.5, ""Mn"": 1.0, ""O"": 3.0}"
mp-1275184,BaLaMn2O6,Ba-La-Mn-O,Ba-La-Mn-O,A,0,False,0.151403825266694,1.1027934773945636,1.0569964060741914,0.125,0.0,0.5,1.485,0.53,2.5,4.0,"[""Ba"", ""La""]","[0.5, 0.5]","[""Mn""]",[1.0],"{""Ba"": 0.5, ""La"": 0.5, ""Mn"": 1.0, ""O"": 3.0}"
mp-1275970,BaLaMn2O6,Ba-La-Mn-O,Ba-La-Mn-O,A,0,False,0.176249155266695,1.1027934773945636,1.0569964060741914,0.125,0.0,0.5,1.485,0.53,2.5,4.0,"[""Ba"", ""La""]","[0.5, 0.5]","[""Mn""]",[1.0],"{""Ba"": 0.5, ""La"": 0.5, ""Mn"": 1.0, ""O"": 3.0}"
mp-1295929,BaLaMn2O6,Ba-La-Mn-O,Ba-La-Mn-O,A,0,False,0.166960674266695,1.1027934773945636,1.0569964060741914,0.125,0.0,0.5,1.485,0.53,2.5,4.0,"[""Ba"", ""La""]","[0.5, 0.5]","[""Mn""]",[1.0],"{""Ba"": 0.5, ""La"": 0.5, ""Mn"": 1.0, ""O"": 3.0}"
mp-19245,BaLaMn2O6,Ba-La-Mn-O,Ba-La-Mn-O,A,0,False,0.109922800266694,1.1027934773945636,1.0569964060741914,0.125,0.0,0.5,1.485,0.53,2.5,4.0,"[""Ba"", ""La""]","[0.5, 0.5]","[""Mn""]",[1.0],"{""Ba"": 0.5, ""La"": 0.5, ""Mn"": 1.0, ""O"": 3.0}"
mp-1227836,BaNd(FeO3)2,Ba-Fe-Nd-O,Ba-Fe-Nd-O,A,0,False,0.065094845666665,1.0407781962696858,0.9871833057641042,0.155,0.0,0.5,1.455,0.645,2.5,3.0,"[""Ba"", ""Nd""]","[0.5, 0.5]","[""Fe""]",[1.0],"{""Ba"": 0.5, ""Nd"": 0.5, ""Fe"": 1.0, ""O"": 3.0}"
mp-22571,BaNdMn2O6,Ba-Mn-Nd-O,Ba-Mn-Nd-O,A,1,False,0.039481043833346,1.1027934773945636,1.046005108957302,0.155,0.0,0.5,1.455,0.53,2.5,4.0,"[""Ba"", ""Nd""]","[0.5, 0.5]","[""Mn""]",[1.0],"{""Ba"": 0.5, ""Nd"": 0.5, ""Mn"": 1.0, ""O"": 3.0}"
mp-1521402,BaNdZr2O6,Ba-Nd-O-Zr,Ba-Nd-O-Zr,A,0,False,0.169006809762503,1.0039582129110884,0.9522593680601852,0.155,0.0,0.5,1.455,0.72,2.5,4.0,"[""Ba"", ""Nd""]","[0.5, 0.5]","[""Zr""]",[1.0],"{""Ba"": 0.5, ""Nd"": 0.5, ""Zr"": 1.0, ""O"": 3.0}"
mp-1521502,BaNdZr2O6,Ba-Nd-O-Zr,Ba-Nd-O-Zr,A,0,False,0.179391322012504,1.0039582129110884,0.9522593680601852,0.155,0.0,0.5,1.455,0.72,2.5,4.0,"[""Ba"", ""Nd""]","[0.5, 0.5]","[""Zr""]",[1.0],"{""Ba"": 0.5, ""Nd"": 0.5, ""Zr"": 1.0, ""O"": 3.0}"
mp-1521540,BaNdZr2O6,Ba-Nd-O-Zr,Ba-Nd-O-Zr,A,0,False,0.172841334262503,1.0039582129110884,0.9522593680601852,0.155,0.0,0.5,1.455,0.72,2.5,4.0,"[""Ba"", ""Nd""]","[0.5, 0.5]","[""Zr""]",[1.0],"{""Ba"": 0.5, ""Nd"": 0.5, ""Zr"": 1.0, ""O"": 3.0}"
mp-1227914,BaPr2Mn3O9,Ba-Mn-O-Pr,Ba-Mn-O-Pr,A,1,False,0.033164554555579,0.9965442719313,1.031960673752388,0.1367073110293992,0.0,0.6666666666666661,1.4166666666666663,0.53,2.6666666666666665,4.0,"[""Ba"", ""Pr""]","[0.3333333333333333, 0.6666666666666666]","[""Mn""]",[1.0],"{""Ba"": 0.3333333333333333, ""Pr"": 0.6666666666666666, ""Mn"": 1.0, ""O"": 3.0}"
mp-19274,BaPrMn2O6,Ba-Mn-O-Pr,Ba-Mn-O-Pr,A,1,False,0.029358112333346,1.1027934773945636,1.049668874662932,0.145,0.0,0.5,1.465,0.53,2.5,4.0,"[""Ba"", ""Pr""]","[0.5, 0.5]","[""Mn""]",[1.0],"{""Ba"": 0.5, ""Pr"": 0.5, ""Mn"": 1.0, ""O"": 3.0}"
mp-1228328,Ba4Sr(FeO3)5,Ba-Fe-O-Sr,Ba-Fe-O-Sr,A,1,False,0.008523991866669,1.0407781962696858,1.0290218977071712,0.068,0.0,1.0,1.5760000000000003,0.645,2.0,3.0,"[""Ba"", ""Sr""]","[0.8, 0.2]","[""Fe""]",[1.0],"{""Ba"": 0.8, ""Sr"": 0.2, ""Fe"": 1.0, ""O"": 3.0}"
mp-1651542,Ba4Sr(FeO3)5,Ba-Fe-O-Sr,Ba-Fe-O-Sr,A,1,False,0.01084802226667,1.0407781962696858,1.0290218977071712,0.068,0.0,1.0,1.5760000000000003,0.645,2.0,3.0,"[""Ba"", ""Sr""]","[0.8, 0.2]","[""Fe""]",[1.0],"{""Ba"": 0.8, ""Sr"": 0.2, ""Fe"": 1.0, ""O"": 3.0}"
mp-1666361,Ba4Sr(FeO3)5,Ba-Fe-O-Sr,Ba-Fe-O-Sr,A,1,False,0.010762902266669,1.0407781962696858,1.0290218977071712,0.068,0.0,1.0,1.5760000000000003,0.645,2.0,3.0,"[""Ba"", ""Sr""]","[0.8, 0.2]","[""Fe""]",[1.0],"{""Ba"": 0.8, ""Sr"": 0.2, ""Fe"": 1.0, ""O"": 3.0}"
mp-1227735,BaSr(FeO3)2,Ba-Fe-O-Sr,Ba-Fe-O-Sr,A,1,False,0.005347741666664,1.0407781962696858,1.011387449863399,0.085,0.0,1.0,1.525,0.645,2.0,3.0,"[""Ba"", ""Sr""]","[0.5, 0.5]","[""Fe""]",[1.0],"{""Ba"": 0.5, ""Sr"": 0.5, ""Fe"": 1.0, ""O"": 3.0}"
mp-1227727,BaSr4(FeO3)5,Ba-Fe-O-Sr,Ba-Fe-O-Sr,A,1,False,0.003934411466659,0.9819967034571124,0.993753002019627,0.068,0.0,1.0,1.474,0.645,2.0,3.0,"[""Ba"", ""Sr""]","[0.2, 0.8]","[""Fe""]",[1.0],"{""Ba"": 0.2, ""Sr"": 0.8, ""Fe"": 1.0, ""O"": 3.0}"
mp-1227739,BaSr4(FeO3)5,Ba-Fe-O-Sr,Ba-Fe-O-Sr,A,1,False,0.003671963066659,0.9819967034571124,0.993753002019627,0.068,0.0,1.0,1.474,0.645,2.0,3.0,"[""Ba"", ""Sr""]","[0.2, 0.8]","[""Fe""]",[1.0],"{""Ba"": 0.2, ""Sr"": 0.8, ""Fe"": 1.0, ""O"": 3.0}"
mp-1643334,BaSr4(FeO3)5,Ba-Fe-O-Sr,Ba-Fe-O-Sr,A,1,False,0.00687423286666,0.9819967034571124,0.993753002019627,0.068,0.0,1.0,1.474,0.645,2.0,3.0,"[""Ba"", ""Sr""]","[0.2, 0.8]","[""Fe""]",[1.0],"{""Ba"": 0.2, ""Sr"": 0.8, ""Fe"": 1.0, ""O"": 3.0}"
mp-1666600,BaSr4(FeO3)5,Ba-Fe-O-Sr,Ba-Fe-O-Sr,A,1,False,0.00474974206666,0.9819967034571124,0.993753002019627,0.068,0.0,1.0,1.474,0.645,2.0,3.0,"[""Ba"", ""Sr""]","[0.2, 0.8]","[""Fe""]",[1.0],"{""Ba"": 0.2, ""Sr"": 0.8, ""Fe"": 1.0, ""O"": 3.0}"
mp-1099685,BaSr7(FeO3)8,Ba-Fe-O-Sr,Ba-Fe-O-Sr,A,1,False,0.004474747166664,0.9819967034571124,0.989344390058684,0.0562222153601226,0.0,1.0,1.46125,0.645,2.0,3.0,"[""Ba"", ""Sr""]","[0.125, 0.875]","[""Fe""]",[1.0],"{""Ba"": 0.125, ""Sr"": 0.875, ""Fe"": 1.0, ""O"": 3.0}"
mp-1228088,Ba4SrHf5O15,Ba-Hf-O-Sr,Ba-Hf-O-Sr,A,1,False,0.008037966599999,1.0087163087068758,0.9973221710005524,0.068,0.0,0.0,1.5760000000000003,0.71,2.0,4.0,"[""Ba"", ""Sr""]","[0.8, 0.2]","[""Hf""]",[1.0],"{""Ba"": 0.8, ""Sr"": 0.2, ""Hf"": 1.0, ""O"": 3.0}"
mp-1227712,BaSr3Mn4O12,Ba-Mn-O-Sr,Ba-Mn-O-Sr,A,1,False,0.028872397291637,1.0405094603988574,1.0560804646477842,0.0736121593216773,0.0,0.0,1.4825000000000002,0.53,2.0,4.0,"[""Ba"", ""Sr""]","[0.25, 0.75]","[""Mn""]",[1.0],"{""Ba"": 0.25, ""Sr"": 0.75, ""Mn"": 1.0, ""O"": 3.0}"
mp-1227420,BaSrMn2O6,Ba-Mn-O-Sr,Ba-Mn-O-Sr,A,1,False,0.012634823083303,1.1027934773945636,1.0716514688967105,0.085,0.0,0.0,1.525,0.53,2.0,4.0,"[""Ba"", ""Sr""]","[0.5, 0.5]","[""Mn""]",[1.0],"{""Ba"": 0.5, ""Sr"": 0.5, ""Mn"": 1.0, ""O"": 3.0}"
mp-1228079,Ba3Sr(SnO3)4,Ba-O-Sn-Sr,Ba-O-Sn-Sr,A,1,False,0.013409117375,1.0183690963500038,1.003990130703866,0.0736121593216773,0.0,0.0,1.5675,0.69,2.0,4.0,"[""Ba"", ""Sr""]","[0.75, 0.25]","[""Sn""]",[1.0],"{""Ba"": 0.75, ""Sr"": 0.25, ""Sn"": 1.0, ""O"": 3.0}"
